X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,MAR_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-77.021633235409,38.8772686237279,44622,Ward 6,"35 Parker Row Southwest, Washington, District of Columbia 20024",The Tides (Parcel 8) - The Wharf  Phase II,Completed 2015 to Date,DMPED DHCD OP,62,38.87726084,-77.02163095,36,0,26,0,74,11-03J,331860,398123.05,134381.3,35 PARKER ROW SW,2023/03/13 05:00:26+00
-77.0248308333936,38.9044344545491,44623,Ward 2,"919 L Street Northwest, Washington, District of Columbia 20001",7th and L Street NW - The Lurgan,Completed 2015 to Date,OP,4,38.904427,-77.02482854,0,0,0,4,0,14-09,239797,397846.41,137396.99,919 L STREET NW,2023/03/13 05:00:26+00
-77.0436469773532,38.9220149306088,44624,Ward 1,"1815 Columbia Road Northwest, Washington, District of Columbia 20009",Kalorama comet,Pipeline,DHCD,1,38.92200747,-77.04364468,0,0,1,0,0,,235374,396215.26,139349.18,1815 COLUMBIA ROAD NW,2023/03/13 05:00:26+00
-76.9816306719695,38.9033246496124,44625,Ward 5,"1028 Bladensburg Road Northeast, Washington, District of Columbia 20002",1028 Bladensburg Rd NE,Completed 2015 to Date,DHCD,3,38.90325639,-76.98161031,0,1,2,0,0,,75088,401593.55,137273.66,1028 BLADENSBURG ROAD NE,2023/03/13 05:00:26+00
-77.0152619384041,38.9189191673374,44626,Ward 1,"205 v Street Northwest, Washington, District of Columbia 20001",205 V St NW,Completed 2015 to Date,DHCD,1,38.91891171,-77.01525965,0,0,1,0,0,,229527,398676.67,139004.73,205 V STREET NW,2023/03/13 05:00:26+00
-76.979870844581,38.9019795922709,44627,Ward 5,"1676 Maryland Avenue Northeast, Washington, District of Columbia 20002",Flats at Atlas Phase II,Completed 2015 to Date,DHCD,24,38.9019718,-76.97986857,0,0,24,0,0,,310898,401746.23,137124.38,1676 MARYLAND AVENUE NE,2023/03/13 05:00:26+00
-76.9946046050364,38.9297938029189,44628,Ward 5,"3201 8th Street Northeast, Washington, District of Columbia 20017",3201 8th Street NE,Completed 2015 to Date,DHCD OP,46,38.92967908,-76.99470728,3,6,31,6,0,18-21,289586,400468.02,140211.81,3201 8TH STREET NE,2023/03/13 05:00:26+00
-77.0028647341485,38.9085994566094,44629,Ward 5,"202 Florida Avenue Northeast, Washington, District of Columbia 20002",Washington Gateway Phase III - The 202 (South Residential Tower),Under Construction,OP,19,38.90859167,-77.00286245,0,0,19,0,0,06-14E,306458,399751.73,137859.05,202 FLORIDA AVENUE NE,2023/03/13 05:00:26+00
-76.9241810796651,38.9041452153537,44630,Ward 7,"1100 Eastern Avenue Northeast, Washington, District of Columbia 20019",1100 Eastern Ave NE,Completed 2015 to Date,DCHA DCHFA DHCD,63,38.90418775,-76.92430916,13,50,0,0,0,,74597,406576.64,137367.32,1100 EASTERN AVENUE NE,2023/03/13 05:00:26+00
-76.953192074751,38.890115676608,44631,Ward 7,"3534 East Capitol Street Northeast, Washington, District of Columbia 20019",3500 East Capitol Street NE Solstice Phase II,Completed 2015 to Date,DCHA DHCD,95,38.89011013,-76.95362678,5,90,0,0,0,,287970,404061.06,135808.24,3534 EAST CAPITOL STREET NE,2023/03/13 05:00:26+00
